数字付费,#genre#\\n
CCTV-10 科教,https://tv.cctv.com/live/cctv10###WEB\\n
CCTV-10 科教,https://www.yangshipin.cn/tv/home?pid=600001805###WEB\\n
CCTV-11 戏曲,https://media.hndyjyfw.gov.cn/live/jz-cctv-11/live.m3u8###WEB\\n
CCTV-11 戏曲,https://tv.cctv.com/live/cctv11###WEB\\n
CCTV-11 戏曲,https://www.yangshipin.cn/tv/home?pid=600001806###WEB\\n
CCTV-12 社会与法,https://media.hndyjyfw.gov.cn/live/jz-cctv-12/live.m3u8###WEB\\n
CCTV-12 社会与法,https://tv.cctv.com/live/cctv12###WEB\\n
CCTV-12 社会与法,https://www.yangshipin.cn/tv/home?pid=600001807###WEB\\n
CCTV-13 新闻,https://media.hndyjyfw.gov.cn/live/jz-cctv-13/live.m3u8###WEB\\n
CCTV-13 新闻,https://tv.cctv.com/live/cctv13###WEB\\n
CCTV-13 新闻,https://www.yangshipin.cn/tv/home?pid=600001811###WEB\\n
CCTV-14 少儿,https://tv.cctv.com/live/cctvchild###WEB\\n
CCTV-14 少儿,https://www.yangshipin.cn/tv/home?pid=600001809###WEB\\n
CCTV-15 音乐,https://tv.cctv.com/live/cctv15###WEB\\n
CCTV-15 音乐,https://www.yangshipin.cn/tv/home?pid=600001815###WEB\\n
CCTV-16 奥林匹克,https://tv.cctv.com/live/cctv16###WEB\\n
CCTV-16 奥林匹克,https://www.yangshipin.cn/tv/home?pid=600098637###WEB\\n
CCTV-17 农业农村,https://tv.cctv.com/live/cctv17###WEB\\n
CCTV-17 农业农村,https://www.yangshipin.cn/tv/home?pid=600001810###WEB\\n
CCTV-4 中文国际（欧）,https://tv.cctv.com/live/cctveurope###WEB\\n
CCTV-4 中文国际（美）,https://tv.cctv.com/live/cctvamerica###WEB\\n
CCTV4k,https://www.yangshipin.cn/tv/home?pid=600002264###WEB\\n
CCTV-1 HK,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8###HLS\\n
\\n
CGTN,http://joyznm.i234.me:20000/udp/239.3.1.16:8056###des:720P###HLS\\n
CGTN俄语高清,http://joyznm.i234.me:20000/udp/239.3.1.220:4220###des:1080P###HLS\\n
CGTN法语高清,http://joyznm.i234.me:20000/udp/239.3.1.218:4220###des:1080P###HLS\\n
CGTN纪录频道高清,http://joyznm.i234.me:20000/udp/239.3.1.216:4220###des:1080P###HLS\\n
CGTN西班牙语高清,http://joyznm.i234.me:20000/udp/239.3.1.217:4220###des:1080P###HLS\\n
CGTN阿拉伯语高清,http://joyznm.i234.me:20000/udp/239.3.1.219:4220###des:1080P###HLS\\n
CGTN高清,http://joyznm.i234.me:20000/udp/239.3.1.215:4220###des:1080P###HLS\\n
港台,#genre#\\n
凤凰卫视中文台,https://345iptv.com/?act=play&token=1954169d1dfb9cbc12fd4f353d5d31b2&tid=gt&id=1&p=0###WEB\\n
凤凰卫视资讯台,https://345iptv.com/?act=play&token=6bdefacb888922eba8683ba0d3ed2d0c&tid=gt&id=2&p=0###WEB\\n
凤凰卫视香港台,https://345iptv.com/?act=play&token=7010383a1fcd7e99526598c4ed672256&tid=gt&id=3&p=0###WEB\\n
TVB翡翠台,https://345iptv.com/?act=play&token=dc1bc1fa919aba49d4719d69c838fcfa&tid=gt&id=5&p=0###WEB\\n
TVB无线新闻台,https://345iptv.com/?act=play&token=8cb8ac6c145287e2ee088d20822560ab&tid=gt&id=6&p=0###WEB\\n
TVB Plus,https://345iptv.com/?act=play&token=e3bdcc55bbc8bbcfb6e04b9f98407c95&tid=gt&id=8&p=0###WEB\\n
TVB明珠台,https://345iptv.com/?act=play&token=5a592ca5f9a4e277577d75c5ed9a2a0f&tid=gt&id=9&p=0###WEB\\n
香港有线新闻台,https://345iptv.com/?act=play&token=870d0dfcea5ae00b8c3ee110c1d6814f&tid=gt&id=11&p=0###WEB\\n
香港有线18台,https://345iptv.com/?act=play&token=5d45ff67b2da39c44465c4f49b39deaf&tid=gt&id=12&p=0###WEB\\n
NOW SPORTS PRIME,https://345iptv.com/?act=play&token=27edacd342e4106d78fba561487e3aea&tid=gt&id=15&p=0###WEB\\n
NOW直播台,https://345iptv.com/?act=play&token=5918591e6e833a67cb01d4a6f97b0e36&tid=gt&id=16&p=0###WEB\\n
NOW新闻台,https://345iptv.com/?act=play&token=27d66786aad725d0a00491074ead3730&tid=gt&id=17&p=0###WEB\\n
NOW财经台,https://345iptv.com/?act=play&token=8977c825908f4fd2c7b98d31ce905de4&tid=gt&id=18&p=0###WEB\\n
ViuTV,https://345iptv.com/?act=play&token=3ca9082c26a6c882fd9be33376df3508&tid=gt&id=19&p=0###WEB\\n
ViuTV6,https://345iptv.com/?act=play&token=6f8c7f3b97ec3246dfe771865b07d322&tid=gt&id=20&p=0###WEB\\n
HOY国际财经台,https://345iptv.com/?act=play&token=9f4e49be333091cdecc7a3e1e7477886&tid=gt&id=22&p=0###WEB\\n
HOY资讯台,https://345iptv.com/?act=play&token=b4d6386e29707ff6596c42edae9ecfb4&tid=gt&id=23&p=0###WEB\\n
HOY TV,https://345iptv.com/?act=play&token=e14264b740c71d5d8fea15a2771cb4d2&tid=gt&id=24&p=0###WEB\\n
港台电视31,https://345iptv.com/?act=play&token=422a708d9bbb31921dce05431781ccab&tid=gt&id=26&p=0###WEB\\n
港台电视32,https://345iptv.com/?act=play&token=7cab9ffbaa43d434fff38e8d59e9d663&tid=gt&id=27&p=0###WEB\\n
香港卫视HKS,https://345iptv.com/?act=play&token=bd4a68482ff5b0c4337d994da3e3fe29&tid=gt&id=30&p=0###WEB\\n
耀才财经,https://345iptv.com/?act=play&token=8849436eb5342a97dded6b8ba81e36f9&tid=gt&id=32&p=0###WEB\\n
澳门莲花,https://345iptv.com/?act=play&token=b7b284d2d33127f865143cea515d75b0&tid=gt&id=35&p=0###WEB\\n
澳門卫视,https://345iptv.com/?act=play&token=e46996b0b7b3b1a7f30ba46b47ae7583&tid=gt&id=36&p=0###WEB\\n
澳视资讯,https://345iptv.com/?act=play&token=3e833129103a3b875f26f5d955c355fc&tid=gt&id=37&p=0###WEB\\n
澳視澳門,https://345iptv.com/?act=play&token=163fbbb84f5460b84b135babd7d59d4b&tid=gt&id=38&p=0###WEB\\n
澳門Macau,https://345iptv.com/?act=play&token=0f4691ed400b21190e277fabe12b6c78&tid=gt&id=39&p=0###WEB\\n
澳视综艺,https://345iptv.com/?act=play&token=d919e4f64a22c6d57522d3e0c2e6d67f&tid=gt&id=40&p=0###WEB\\n
澳亚卫视,https://345iptv.com/?act=play&token=53ceeef30429e4252363292d47612ba4&tid=gt&id=41&p=0###WEB\\n
中天新闻台,https://345iptv.com/?act=play&token=592f18bdf14b5c5da56c70e53a2f2fec&tid=gt&id=43&p=0###WEB\\n
东森新闻台,https://345iptv.com/?act=play&token=e3528a3f9e489017678f0bedf02be03d&tid=gt&id=44&p=0###WEB\\n
东森财经新闻台,https://345iptv.com/?act=play&token=c771dc35208e581b1e6e8c0ee70979d6&tid=gt&id=45&p=0###WEB\\n
中视新闻台,https://345iptv.com/?act=play&token=e18154e6750261f7639783b45da79003&tid=gt&id=46&p=0###WEB\\n
台视新闻台,https://345iptv.com/?act=play&token=ec94e69e05b66e636c75093308239bd5&tid=gt&id=47&p=0###WEB\\n
三立新闻台,https://345iptv.com/?act=play&token=b26eb5f81d040f845f66e1beb9ce1de3&tid=gt&id=48&p=0###WEB\\n
民视新闻台,https://345iptv.com/?act=play&token=b08f4da6f9f4b334b3e11a97ed6bd58b&tid=gt&id=50&p=0###WEB\\n
华视新闻台,https://345iptv.com/?act=play&token=cd32c6912b809f8eec5374c89e86a1e8&tid=gt&id=51&p=0###WEB\\n
镜电视新闻台,https://345iptv.com/?act=play&token=a16fb94449c5f4c524ea5c97825e5be0&tid=gt&id=52&p=0###WEB\\n
寰宇新闻台,https://345iptv.com/?act=play&token=83db6e828c157c1563d0922236ca86a0&tid=gt&id=53&p=0###WEB\\n
TVBS新闻台,https://345iptv.com/?act=play&token=1a8d20e27f1d420615adacdb33a4d0f8&tid=gt&id=54&p=0###WEB\\n
TVBS HD,https://345iptv.com/?act=play&token=a40dc759b22df0344a849ca1abcb0992&tid=gt&id=56&p=0###WEB\\n
TVBS欢乐台,https://345iptv.com/?act=play&token=6260c0faa1f59bcb16585ed74fdd7ddb&tid=gt&id=57&p=0###WEB\\n
中视HD,https://345iptv.com/?act=play&token=07a2b233917bab83a6fc2b4478ff4817&tid=gt&id=60&p=0###WEB\\n
台视HD,https://345iptv.com/?act=play&token=66c43f97eb4710b97b207747f852ce06&tid=gt&id=61&p=0###WEB\\n
民视HD,https://345iptv.com/?act=play&token=540055f7f58239df454d17233e44030a&tid=gt&id=62&p=0###WEB\\n
华视HD,https://345iptv.com/?act=play&token=042fa465d2b88b96784cca1b2ce5068e&tid=gt&id=63&p=0###WEB\\n
三立台湾台,https://345iptv.com/?act=play&token=1c38f9f4645bfc1ac27c41f605303fa4&tid=gt&id=65&p=0###WEB\\n
民视台湾台,https://345iptv.com/?act=play&token=46fc090f8a6e63b6aaace480ff3c6333&tid=gt&id=67&p=0###WEB\\n
民视第一台,https://345iptv.com/?act=play&token=e51a2729e74ec94ff0833b9e361db4e4&tid=gt&id=68&p=0###WEB\\n
民视综艺台,https://345iptv.com/?act=play&token=e5d397163e3fbd6d430ae6a064d202c2&tid=gt&id=69&p=0###WEB\\n
民视旅游台,https://345iptv.com/?act=play&token=48dbbf34748041fffdf10072d6c2e002&tid=gt&id=70&p=0###WEB\\n
民视影剧台,https://345iptv.com/?act=play&token=ca12009ccb5a22d0d7546dc48b177ecc&tid=gt&id=71&p=0###WEB\\n
緯來體育台,https://345iptv.com/?act=play&token=28f6e19efe09fe57760f5d52fde743fa&tid=gt&id=73&p=0###WEB\\n
纬来日本台,https://345iptv.com/?act=play&token=54fc536367f34fead2815c0977a05c62&tid=gt&id=74&p=0###WEB\\n
纬来育乐台,https://345iptv.com/?act=play&token=f715534f34e94b33370c55effdf92008&tid=gt&id=75&p=0###WEB\\n
ELEVEN 1（DAZN 1）,https://345iptv.com/?act=play&token=393940714f96ccd2b504b4c364a42c61&tid=gt&id=76&p=0###WEB\\n
ELEVEN 2（DAZN 2）,https://345iptv.com/?act=play&token=6e0eafa0b38382ef3dc0267fc4580fd1&tid=gt&id=77&p=0###WEB\\n
爱尔达体育1台,https://345iptv.com/?act=play&token=6bd4470a0eda661c366b708bbd7c061f&tid=gt&id=79&p=0###WEB\\n
爱尔达体育2台,https://345iptv.com/?act=play&token=1748d8f3e6e232420e0d101e5196d733&tid=gt&id=80&p=0###WEB\\n
爱尔达体育3台,https://345iptv.com/?act=play&token=77d99e68bc3a283c4fdc3f2f0fc652cc&tid=gt&id=81&p=0###WEB\\n
爱尔达体育4台,https://345iptv.com/?act=play&token=1fad0cfb1605609b3071b5c865a317e1&tid=gt&id=82&p=0###WEB\\n
大爱一台,https://345iptv.com/?act=play&token=d366b9d427bada847d6621e0528a7c63&tid=gt&id=83&p=0###WEB\\n
大爱二台,https://345iptv.com/?act=play&token=d9f73bd5b6cf9cf984eb530d0de2fbb8&tid=gt&id=84&p=0###WEB\\n
\\n
中视HD,rtmp://f13h.mine.nu/sat/tv091###HLS\\n
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8###HLS\\n
八大戏剧,https://stream1.freetv.fun/ba-da-xi-ju-1.m3u8###HLS\\n
大湾区卫视,http://211.101.234.24:68/公众号猫月牙/mg.php?id=大湾区卫视###HLS\\n
TVB Plus,http://cdn.132.us.kg/live/tvbp/stream.m3u8###HLS\\n
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2###HLS\\n
TVBJ1,http://cdn3.132.us.kg/live/j1/stream.m3u8###HLS\\n
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8###HLS\\n
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc###HLS\\n
TVB娱乐新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2###HLS\\n
TVB无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8###HLS\\n
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali###HLS\\n
TVB无线华丽,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8###HLS\\n
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn###HLS\\n
TVB无线新闻,https://cdn.iptv8k.top/dl/jspd.php?id=2&time=20240926215313&ip=111.229.253.40$LR•IPV4『线路1』###HLS\\n
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe###HLS\\n
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe###HLS\\n
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe###HLS\\n
TVB星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8###HLS\\n
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw###HLS\\n
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-3.ctv###HLS\\n
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-5.ctv###HLS\\n
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-6.ctv###HLS\\n
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-7.ctv###HLS\\n
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-3.m3u8###HLS\\n
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8###HLS\\n
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8###HLS\\n
八大综合,https://stream1.freetv.fun/ba-da-zong-he-1.m3u8###HLS\\n
八大综合,https://stream1.freetv.fun/ba-da-zong-he-2.m3u8###HLS\\n
华视新闻,https://stream1.freetv.fun/hua-shi-2.m3u8###HLS\\n
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8###HLS\\n
韩国娱乐台,https://stream1.freetv.fun/glo-bet-1.ctv###HLS\\n
香港卫视,http://stream.qhbtv.com/adws/sd/live.m3u8###HLS\\n
星光综合台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv###HLS\\n
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-12.m3u8###HLS\\n
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-4.ctv###HLS\\n
纬来体育,rtmp://f13h.mine.nu/sat/tv721###HLS\\n
纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721###HLS\\n
纬来日本,rtmp://f13h.mine.nu/sat/tv771###HLS\\n
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53$LR•IPV4『线路19』###HLS\\n
翡翠台,http://beishan008.asuscomm.com:8889/bysid/1.m3u8$LR•IPV4『线路11』###HLS\\n
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3###HLS\\n
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4###HLS\\n
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn###HLS\\n
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct###HLS\\n
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8###HLS\\n
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8##HLS\\n
Now爆谷台,http://ali.hlspull.yximgs.com/live/6eec911486ea14c34fe7b5919cb40701.flv##HLS\\n
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8###HLS\\n
Arirang TV,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8###HLS\\n
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod###HLS\\n
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8###HLS\\n
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8###HLS\\n
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8###HLS\\n
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8###HLS\\n
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8###HLS\\n
liveshow,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist_w10.m3u8###HLS\\n
LOVENATURE 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8###HLS\\n
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8###HLS\\n
NHK WORLD,http://61.221.215.25:8800/hls/51/index.m3u8###HLS\\n
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8###HLS\\n
NHK华语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8###HLS\\n
NHK新闻英,http://61.221.215.25:8800/hls/51/index.m3u8###HLS\\n
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8###HLS\\n
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8###HLS\\n
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8###HLS\\n
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8###HLS\\n
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8###HLS\\n
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2###HLS\\n
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp###HLS\\n
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8###HLS\\n
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8###HLS\\n
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx###HLS\\n
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw###HLS\\n
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn###HLS\\n
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8###HLS\\n
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8###HLS\\n
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8###HLS\\n
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8###HLS\\n
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8###HLS\\n
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8###HLS\\n
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8###HLS\\n
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8###HLS\\n
亚洲武侠台,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8###HLS\\n
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8###HLS\\n
凤凰中文,http://139.196.228.200:5678/%E5%85%AC%E4%BC%97%E5%8F%B7%E6%90%9E%E6%9C%BA%E5%A4%A7%E5%B8%88/fhx.php?id=cn###HLS\\n
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw###HLS\\n
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw###HLS\\n
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx###HLS\\n
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx###HLS\\n
千禧经典,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8###HLS\\n
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc###HLS\\n
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8###HLS\\n
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali###HLS\\n
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2###HLS\\n
好消息綜合,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8###HLS\\n
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8###HLS\\n
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8###HLS\\n
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade###HLS\\n
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali###HLS\\n
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw###HLS\\n
无线新闻.备用,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt###HLS\\n
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn###HLS\\n
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe###HLS\\n
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe###HLS\\n
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn###HLS\\n
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct###HLS\\n
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8###HLS\\n
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8###HLS\\n
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8###HLS\\n
星光视界台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv###HLS\\n
星河台,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8###HLS\\n
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0###HLS\\n
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0###HLS\\n
時尚FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8###HLS\\n
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8###HLS\\n
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8###HLS\\n
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8###HLS\\n
环球,http://zb.xzxwhcb.com:9999/hls/world.m3u8###HLS\\n
环球卫视,rtmp://play.xghqws.cn/yunqing888/yunqing888?auth_key=1731294000-0-0-0942b140da60167a47c1f2d685f702b2\\n
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8###HLS\\n
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8###HLS\\n
纬来电影,https://idx.gdplayertv.to/live-tv/videoland-movie/?embed=1###WEB\\n
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8###HLS\\n
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya###HLS\\n
美亚电影,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8###HLS\\n
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8###HLS\\n
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8###HLS\\n
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3###HLS\\n
翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8###HLS\\n
翡翠台4,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct###HLS\\n
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2###HLS\\n
翡翠台5,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4###HLS\\n
翡翠台7,http://php.jdshipin.com/TVOD/iptv.php?id=fct2###HLS\\n
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8###HLS\\n
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8###HLS\\n
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv###HLS\\n
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8###HLS\\n
靖宇,http://stream8.jlntv.cn/jytv/sd/live.m3u8###HLS\\n
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595###HLS\\n
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743###HLS\\n
韩国电影3,https://stream.ads.ottera.tv/playlist.m3u8?network_id=742###HLS\\n
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv###HLS\\n
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8###HLS\\n
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639&wsIPSercert=6f8d45434604e7d22f5b0abbc0231d01&wsMonitor=0###HLS\\n
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8###HLS\\n
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8###HLS\\n
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8###HLS\\n
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8###HLS\\n
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8###HLS\\n
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8###HLS\\n
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8###HLS\\n
卫视,#genre#\\n
北京卫视,http://8.146.211.219:2001/live_tv?pid=600002309###HLS\\n
东方卫视,http://8.146.211.219:2001/live_tv?pid=600002483###HLS\\n
江苏卫视,http://8.146.211.219:2001/live_tv?pid=600002521###HLS\\n
浙江卫视,http://8.146.211.219:2001/live_tv?pid=600002520###HLS\\n
湖南卫视,http://8.146.211.219:2001/live_tv?pid=600002475###HLS\\n
湖北卫视,http://8.146.211.219:2001/live_tv?pid=600002508###HLS\\n
广东卫视,http://8.146.211.219:2001/live_tv?pid=600002485###HLS\\n
广西卫视,http://8.146.211.219:2001/live_tv?pid=600002509###HLS\\n
黑龙江卫视,http://8.146.211.219:2001/live_tv?pid=600002498###HLS\\n
海南卫视,http://8.146.211.219:2001/live_tv?pid=600002506###HLS\\n
重庆卫视,http://8.146.211.219:2001/live_tv?pid=600002531###HLS\\n
深圳卫视,http://8.146.211.219:2001/live_tv?pid=600002481###HLS\\n
四川卫视,http://8.146.211.219:2001/live_tv?pid=600002516###HLS\\n
河南卫视,http://8.146.211.219:2001/live_tv?pid=600002525###HLS\\n
东南卫视,http://8.146.211.219:2001/live_tv?pid=600002484###HLS\\n
江西卫视,http://8.146.211.219:2001/live_tv?pid=600002503###HLS\\n
辽宁卫视,http://8.146.211.219:2001/live_tv?pid=600002505###HLS\\n
安徽卫视,http://8.146.211.219:2001/live_tv?pid=600002532###HLS\\n
河北卫视,http://8.146.211.219:2001/live_tv?pid=600002493###HLS\\n
陕西卫视,http://8.146.211.219:2001/live_tv?pid=600190400###HLS\\n
甘肃卫视,http://8.146.211.219:2001/live_tv?pid=600190408###HLS\\n
宁夏卫视,http://8.146.211.219:2001/live_tv?pid=600190737###HLS\\n
内蒙古卫视,http://8.146.211.219:2001/live_tv?pid=600190401###HLS\\n
云南卫视,http://8.146.211.219:2001/live_tv?pid=600190402###HLS\\n
山西卫视,http://8.146.211.219:2001/live_tv?pid=600190407###HLS\\n
青海卫视,http://8.146.211.219:2001/live_tv?pid=600190406###HLS\\n
西藏卫视,http://8.146.211.219:2001/live_tv?pid=600190403###HLS\\n
山东卫视,http://8.146.211.219:2001/live_tv?pid=600002513###HLS\\n
